Tam_1	Indha movie ku award tharlana avanga mansanay illa bro	OFF
Tam_2	kritheeck Kookaburra en unaku enachu? Cbsc ah??	NOT
Tam_3	Actually Oru particular bus incident thalaiya vettina sambavam Atha pathi sollala	OFF
Tam_4	Small suggestions: mic ah shirt la pottukunga bro	NOT
Tam_5	Karnan padathulaa oru pombaa varumlaa athuu enna pomma	NOT
Tam_6	Madhanu konjam gunda agita mathanu odamba fit ahh maintain pannu mathanu	NOT
Tam_7	thambi oru chinna correction .. odukkappattavargal thaniyaga ondru koodi vaazhavillai odhukkappatadhaal veru vazhiyillamaal odhungi vaazhgiraargal ..	NOT
Tam_8	Thala weight potuteenga	NOT
Tam_9	thambi oru chinna correction .. odukkappattavargal thaniyaga ondru koodi vaazhavillai odhukkappatadhaal veru vazhiyillamaal odhungi vaazhgiraargal ..	NOT
Tam_10	Odukapatta jathi nu soluvathu thavaru.... Oru samuthaiya makkal nu soli palaginga	NOT
Tam_11	Naan DMK  support pannala But DMK Ku than neraya vaaipu iruku	NOT
Tam_12	Bro naa 2006 la naa Pepsi company la work panna appo one day ku RS. 84 rupees than salery vaanguna bro	NOT
Tam_13	Ipola ipdi nadakurathu illanu sonninga....... Thoothukudi sambavam nadakaila enna pannitu irunthinga..... @Mg	OFF
Tam_14	Sir nanum manjolai thaan ..	NOT
Tam_15	Neenga ya 1 hr va papanga	NOT
Tam_16	Madanu ad overa varuthu pa	NOT
Tam_17	hi Annan unga videos ennnaku romba pudichiruku innum video share pannunga	NOT
Tam_18	Bro peaky blinders pathi pesu bro	NOT
Tam_19	Nalla bit adikkara content from other sites	NOT
Tam_20	MGs Hi eppadi irukka	NOT
Tam_21	Anna va New to hear sis 1st tyms Anna nu soli kekura	NOT
Tam_22	 ithana naal bro nu sonnen ,ippo Tamil la  @Varshaa	NOT
Tam_23	Real bigilu real karnan apdi nu title vachi ishtathukku kaathula eri okkuraru mg anna	OFF
Tam_24	Unmai dha sister Tamil ah sona Close to heart ah feel agum… @Varnajalam Mini Crafts 	NOT
Tam_25	.. Namma fan pola.... Today my day	NOT
Tam_26	hi Vishaka sis epdi irukeenga @Vishaka Arts	NOT
Tam_27	 naan saaptuiruden athan paakala ipathan paarthen sis 	NOT
Tam_28	 vidu varshu.... anna nu sonna namaku nalladhu  	NOT
Tam_29	mg bro ku marriage aaita neengalum annanu dhan koopudanum	NOT
Tam_30	naa innikkum biryani dhan saaptayn	NOT
Tam_31	Hi sister, mg-ku fans erukanga-la, eilla ya-nu therila, but ninga muttum comment potha podhum, ellarum like panranga, ungaluku-nu seperate fanbase eruku sister Congrats	NOT
Tam_32	 semma dhillu unaku @Robert B Weide	NOT
Tam_33	Madhanu konjam gunda agita mathanu odamba fit ahh maintain pannu mathanu	NOT
Tam_34	Thala weight potuteenga	NOT
Tam_35	Yow madhan uh.. Nee yaru fan la	NOT
Tam_36	Nalla bit adikkara content from other sites	NOT
Tam_37	Hi anna Aama  nanun tvl than	NOT
Tam_38	Indha movie ku award tharlana avanga mansanay illa bro	OFF
Tam_39	Anna oru like	NOT
Tam_40	Devendrakula vellalar pathi oru video podunga bro	NOT
Tam_41	Dei idhu unmaiyalumae true story da adhanala dhan Mari selvaraj idha pathu inspired aiyi padama eduthurukaru... Idhu kooda theriyama dhan indha video paaka vantiya da pundamavane @Robert B Weide	NOT
Tam_42	@Keshika M avar edho pirachanai la irukaaru nu, insta story la paarthen  	OFF
Tam_43	enamo solreenga naanum, ketukirane . Edhu thaana serndha kootam  @universal hero sj	NOT
Tam_44	@Varnajalam Mini Crafts  sorry sis ennaku puriyala yaaru pirachanaila irukaga?  	NOT
Tam_45	@Keshika M  omg sorry sister tagged wrongly . Blue sattai maaran pathi oruthar ketaaru, avaruku panna reply  	NOT
